"filename", "language", "C", "C++", "Makefile", "Python", "Properties", "comment", "blank", "total"
"c:\Users\isaif\Desktop\Summer Proj\src\Makefile", "Makefile", 0, 0, 55, 0, 0, 3, 24, 82
"c:\Users\isaif\Desktop\Summer Proj\src\arp.c", "C", 118, 0, 0, 0, 0, 6, 11, 135
"c:\Users\isaif\Desktop\Summer Proj\src\arp.h", "C", 23, 0, 0, 0, 0, 3, 4, 30
"c:\Users\isaif\Desktop\Summer Proj\src\ethernet.c", "C", 31, 0, 0, 0, 0, 3, 4, 38
"c:\Users\isaif\Desktop\Summer Proj\src\ethernet.h", "C", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\isaif\Desktop\Summer Proj\src\gdt.c", "C", 32, 0, 0, 0, 0, 1, 8, 41
"c:\Users\isaif\Desktop\Summer Proj\src\gdt.h", "C++", 0, 54, 0, 0, 0, 4, 8, 66
"c:\Users\isaif\Desktop\Summer Proj\src\grub.cfg", "Properties", 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\isaif\Desktop\Summer Proj\src\idt.c", "C", 45, 0, 0, 0, 0, 5, 13, 63
"c:\Users\isaif\Desktop\Summer Proj\src\idt.h", "C++", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\isaif\Desktop\Summer Proj\src\ip.c", "C", 48, 0, 0, 0, 0, 5, 9, 62
"c:\Users\isaif\Desktop\Summer Proj\src\ip.h", "C", 26, 0, 0, 0, 0, 3, 7, 36
"c:\Users\isaif\Desktop\Summer Proj\src\isodir\boot\grub\grub.cfg", "Properties", 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\isaif\Desktop\Summer Proj\src\isr.c", "C", 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\isaif\Desktop\Summer Proj\src\kernel.c", "C", 29, 0, 0, 0, 0, 11, 1, 41
"c:\Users\isaif\Desktop\Summer Proj\src\key_mappings.h", "C++", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\isaif\Desktop\Summer Proj\src\lib.c", "C", 103, 0, 0, 0, 0, 5, 7, 115
"c:\Users\isaif\Desktop\Summer Proj\src\lib.h", "C", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\isaif\Desktop\Summer Proj\src\malloc.c", "C", 23, 0, 0, 0, 0, 1, 3, 27
"c:\Users\isaif\Desktop\Summer Proj\src\malloc.h", "C++", 0, 10, 0, 0, 0, 1, 4, 15
"c:\Users\isaif\Desktop\Summer Proj\src\net.h", "C", 26, 0, 0, 0, 0, 1, 1, 28
"c:\Users\isaif\Desktop\Summer Proj\src\pci.c", "C", 128, 0, 0, 0, 0, 67, 35, 230
"c:\Users\isaif\Desktop\Summer Proj\src\pci.h", "C", 34, 0, 0, 0, 0, 0, 0, 34
"c:\Users\isaif\Desktop\Summer Proj\src\switch.c", "C", 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\isaif\Desktop\Summer Proj\src\switch.h", "C++", 0, 3, 0, 0, 0, 6, 1, 10
"c:\Users\isaif\Desktop\Summer Proj\src\syscall.c", "C", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\isaif\Desktop\Summer Proj\src\syscall.h", "C++", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\isaif\Desktop\Summer Proj\src\udp.c", "C", 33, 0, 0, 0, 0, 1, 4, 38
"c:\Users\isaif\Desktop\Summer Proj\src\udp.h", "C", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\isaif\Desktop\Summer Proj\src\udptest.py", "Python", 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\isaif\Desktop\Summer Proj\src\user.c", "C", 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\isaif\Desktop\Summer Proj\src\vmem.c", "C", 64, 0, 0, 0, 0, 12, 12, 88
"c:\Users\isaif\Desktop\Summer Proj\src\vmem.h", "C++", 0, 27, 0, 0, 0, 0, 5, 32
"Total", "-", 875, 122, 55, 5, 6, 139, 188, 1390
